stfips,ctfips,st,cty,lon,lat,Uppm
1,79,AL,LAWRENCE,-87.311,34.522,2.09307
1,81,AL,LEE,-85.356,32.601,2.09977
1,83,AL,LIMESTONE,-86.981,34.81,2.26398
1,85,AL,LOWNDES,-86.651,32.153,2.49318
1,87,AL,MACON,-85.693,32.386,2.42199
1,89,AL,MADISON,-86.55,34.763,2.44822
1,91,AL,MARENGO,-87.787,32.247,2.02724
1,93,AL,MARION,-87.887,34.136,1.77443
1,95,AL,MARSHALL,-86.307,34.367,1.88005
1,97,AL,MOBILE,-88.198,30.685,1.20665
1,99,AL,MONROE,-87.366,31.57,1.61623
1,101,AL,MONTGOMERY,-86.208,32.22,2.63408
1,103,AL,MORGAN,-86.854,34.453,2.12288
1,105,AL,PERRY,-87.294,32.639,2.25754
1,107,AL,PICKENS,-88.089,33.281,1.9366
1,109,AL,PIKE,-85.941,31.802,1.91657
1,111,AL,RANDOLPH,-85.459,33.294,2.34661
1,113,AL,RUSSELL,-85.185,32.289,2.3961
1,115,AL,STCLAIR,-86.315,33.715,1.79294
1,117,AL,SHELBY,-86.66,33.264,1.82097
1,119,AL,SUMTER,-88.2,32.588,2.0113
1,121,AL,TALLADEGA,-86.165,33.379,2.05354
1,123,AL,TALLAPOOSA,-85.798,32.862,1.77118
1,125,AL,TUSCALOOSA,-87.525,33.289,1.71188
1,127,AL,WALKER,-87.297,33.803,1.97736
1,129,AL,WASHINGTON,-88.208,31.408,1.48708
1,131,AL,WILCOX,-87.308,31.989,1.84745
1,133,AL,WINSTON,-87.374,34.149,1.68318
4,1,AZ,APACHE,-109.488,35.396,2.26437
4,3,AZ,COCHISE,-109.751,31.879,2.34707
4,5,AZ,COCONINO,-111.77,35.839,2.01841
4,7,AZ,GILA,-110.812,33.801,2.3866
4,9,AZ,GRAHAM,-109.887,32.933,2.40633
4,11,AZ,GREENLEE,-109.24,33.215,1.58747
4,12,AZ,LAPAZ,-113.98,33.729,0
4,13,AZ,MARICOPA,-112.491,33.349,3.11518
4,15,AZ,MOHAVE,-113.757,35.704,2.71407
4,17,AZ,NAVAJO,-110.321,35.4,2.42466
4,19,AZ,PIMA,-111.789,32.097,3.43326
4,21,AZ,PINAL,-111.344,32.904,2.99849
4,23,AZ,SANTACRUZ,-110.846,31.526,3.76713
4,25,AZ,YAVAPAI,-112.554,34.6,2.66527
4,27,AZ,YUMA,-113.904,32.769,3.39032
5,1,AR,ARKANSAS,-91.374,34.291,1.84946
5,3,AR,ASHLEY,-91.768,33.191,1.73017
5,5,AR,BAXTER,-92.336,36.287,1.50418
5,7,AR,BENTON,-94.259,36.339,1.4714
5,9,AR,BOONE,-93.091,36.308,1.53893
5,11,AR,BRADLEY,-92.162,33.465,1.66546
5,13,AR,CALHOUN,-92.504,33.559,1.67584
5,15,AR,CARROLL,-93.54,36.341,1.52575
5,17,AR,CHICOT,-91.295,33.267,1.89498
5,19,AR,CLARK,-93.176,34.051,1.7161
5,21,AR,CLAY,-90.417,36.369,2.12144
5,23,AR,CLEBURNE,-92.027,35.538,1.88281
5,25,AR,CLEVELAND,-92.185,33.898,1.85334
5,27,AR,COLUMBIA,-93.227,33.214,1.58625
5,29,AR,CONWAY,-92.701,35.262,2.13384
5,31,AR,CRAIGHEAD,-90.633,35.831,2.07303
5,33,AR,CRAWFORD,-94.244,35.588,1.88102
5,35,AR,CRITTENDEN,-90.309,35.206,2.07529
5,37,AR,CROSS,-90.771,35.296,2.26853
5,39,AR,DALLAS,-92.654,33.97,1.6472
5,41,AR,DESHA,-91.259,33.835,1.85657
5,43,AR,DREW,-91.719,33.59,1.79975
5,45,AR,FAULKNER,-92.332,35.146,2.15406
5,47,AR,FRANKLIN,-93.891,35.513,1.96134
5,49,AR,FULTON,-91.818,36.382,1.72088
5,51,AR,GARLAND,-93.15,34.576,1.70082
5,53,AR,GRANT,-92.423,34.29,1.80624
5,55,AR,GREENE,-90.558,36.118,2.09605
5,57,AR,HEMPSTEAD,-93.669,33.735,1.67497
5,59,AR,HOTSPRING,-92.946,34.318,1.67252
5,61,AR,HOWARD,-93.993,34.089,1.6384
5,63,AR,INDEPENDENCE,-91.57,35.741,1.9761
5,65,AR,IZARD,-91.914,36.094,1.44687
5,67,AR,JACKSON,-91.214,35.599,2.10858
5,69,AR,JEFFERSON,-91.932,34.269,1.86682
5,71,AR,JOHNSON,-93.46,35.57,1.97577
5,73,AR,LAFAYETTE,-93.608,33.242,1.62248
5,75,AR,LAWRENCE,-91.107,36.041,2.03848
5,77,AR,LEE,-90.778,34.782,1.95004
5,79,AR,LINCOLN,-91.733,33.957,1.83502
5,81,AR,LITTLERIVER,-94.235,33.7,1.52338
5,83,AR,LOGAN,-93.717,35.215,1.98625
5,85,AR,LONOKE,-91.889,34.754,1.9414
5,87,AR,MADISON,-93.724,36.011,1.73896
5,89,AR,MARION,-92.684,36.268,1.4293
5,91,AR,MILLER,-93.894,33.311,1.65128
5,93,AR,MISSISSIPPI,-90.053,35.764,2.04507
5,95,AR,MONROE,-91.203,34.679,1.89966
5,97,AR,MONTGOMERY,-93.659,34.539,1.68723
5,99,AR,NEVADA,-93.307,33.664,1.61448
5,101,AR,NEWTON,-93.218,35.92,1.59052
5,103,AR,OUACHITA,-92.882,33.593,1.63643
5,105,AR,PERRY,-92.932,34.947,1.85052
5,107,AR,PHILLIPS,-90.849,34.428,1.91815
5,109,AR,PIKE,-93.656,34.163,1.50265
5,111,AR,POINSETT,-90.663,35.574,2.12574
5,113,AR,POLK,-94.228,34.486,1.74222
5,115,AR,POPE,-93.034,35.449,1.96905
5,117,AR,PRAIRIE,-91.553,34.829,1.98853
5,119,AR,PULASKI,-92.311,34.77,1.79394
5,121,AR,RANDOLPH,-91.028,36.341,1.98633
5,123,AR,STFRANCIS,-90.748,35.022,2.16574
5,125,AR,SALINE,-92.677,34.647,1.7541
5,127,AR,SCOTT,-94.063,34.861,1.72812
5,129,AR,SEARCY,-92.699,35.911,1.63125
5,131,AR,SEBASTIAN,-94.274,35.199,1.94372
5,133,AR,SEVIER,-94.241,33.997,1.56745
5,135,AR,SHARP,-91.48,36.161,1.69873
5,137,AR,STONE,-92.157,35.859,1.56174
5,139,AR,UNION,-92.598,33.171,1.57249
5,141,AR,VANBUREN,-92.516,35.581,1.85868
5,143,AR,WASHINGTON,-94.214,35.98,1.72501
5,145,AR,WHITE,-91.745,35.256,2.17795
5,147,AR,WOODRUFF,-91.242,35.187,2.08367
5,149,AR,YELL,-93.41,35.003,1.96408
6,1,CA,ALAMEDA,-121.917,37.651,1.54997
6,3,CA,ALPINE,-119.819,38.597,2.18801
6,5,CA,AMADOR,-120.651,38.446,2.5718
6,7,CA,BUTTE,-121.599,39.667,1.04025
6,9,CA,CALAVERAS,-120.553,38.204,2.68298
6,11,CA,COLUSA,-122.235,39.179,1.32467
6,13,CA,CONTRACOSTA,-121.951,37.923,1.54202
6,15,CA,DELNORTE,-123.957,41.745,0.618752
6,17,CA,ELDORADO,-120.524,38.779,2.31432
6,19,CA,FRESNO,-119.65,36.758,2.68071
6,21,CA,GLENN,-122.391,39.599,1.18932
6,23,CA,HUMBOLDT,-123.913,40.706,0.992292
6,25,CA,IMPERIAL,-115.364,33.039,2.49404
6,27,CA,INYO,-117.411,36.512,2.53886
6,29,CA,KERN,-118.729,35.343,2.64711
6,31,CA,KINGS,-119.815,36.075,2.38313
6,33,CA,LAKE,-122.751,39.1,1.67538
6,35,CA,LASSEN,-120.593,40.674,1.0447
6,37,CA,LOSANGELES,-118.501,32.919,2.10113
6,37,CA,LOSANGELES,-118.233,34.334,2.10113
6,37,CA,LOSANGELES,-118.417,33.365,2.10113
6,39,CA,MADERA,-119.762,37.218,2.8447
6,41,CA,MARIN,-122.742,38.06,1.29143
6,43,CA,MARIPOSA,-119.907,37.579,2.34869
6,45,CA,MENDOCINO,-123.431,39.436,1.46772
6,47,CA,MERCED,-120.717,37.193,2.55011
6,49,CA,MODOC,-120.724,41.59,0.784871
6,51,CA,MONO,-118.886,37.939,3.27664
6,53,CA,MONTEREY,-121.308,36.24,2.30709
6,55,CA,NAPA,-122.331,38.507,1.93971
6,57,CA,NEVADA,-120.767,39.301,1.5161
6,59,CA,ORANGE,-117.775,33.677,2.17578
6,61,CA,PLACER,-120.716,39.064,2.01329
6,63,CA,PLUMAS,-120.837,40.004,1.30982
6,65,CA,RIVERSIDE,-115.993,33.744,2.72247
6,67,CA,SACRAMENTO,-121.345,38.446,2.41149
6,69,CA,SANBENITO,-121.074,36.606,2.21641
6,71,CA,SANBERNARDINO,-116.178,34.842,2.59193
6,73,CA,SANDIEGO,-116.77,33.028,1.84789
6,75,CA,SANFRANCISCO,-123.073,37.743,0
6,75,CA,SANFRANCISCO,-122.442,37.778,0
6,77,CA,SANJOAQUIN,-121.271,37.935,2.49129
6,79,CA,SANLUISOBISPO,-120.451,35.388,2.48984
6,81,CA,SANMATEO,-122.355,37.438,1.11912
6,81,CA,SANMATEO,-122.147,37.275,1.11912
6,83,CA,SANTABARBARA,-119.968,34.011,2.56646
6,83,CA,SANTABARBARA,-119.037,33.487,2.56646
6,83,CA,SANTABARBARA,-120.055,34.701,2.56646
6,85,CA,SANTACLARA,-121.695,37.233,1.64708
6,87,CA,SANTACRUZ,-122.008,37.021,1.83296
6,89,CA,SHASTA,-122.039,40.764,0.866229
6,91,CA,SIERRA,-120.515,39.58,1.58486
6,93,CA,SISKIYOU,-122.539,41.593,0.699093
6,95,CA,SOLANO,-121.941,38.268,1.81441
6,97,CA,SONOMA,-122.922,38.526,1.75664
6,99,CA,STANISLAUS,-120.997,37.559,2.36348
6,101,CA,SUTTER,-121.693,39.034,2.20258
6,103,CA,TEHAMA,-122.233,40.126,0.967277
6,105,CA,TRINITY,-123.111,40.652,0.807274
6,107,CA,TULARE,-118.8,36.22,2.70465
6,109,CA,TUOLUMNE,-119.952,38.027,2.46445
6,111,CA,VENTURA,-119.089,34.447,2.58324
6,111,CA,VENTURA,-119.416,34.015,2.58324
6,111,CA,VENTURA,-119.497,33.243,2.58324
6,113,CA,YOLO,-121.901,38.686,1.92205
6,115,CA,YUBA,-121.35,39.269,1.2608
8,1,CO,ADAMS,-104.345,39.875,2.36747
8,1,CO,ADAMS,-104.771,39.785,2.36747
8,1,CO,ADAMS,-104.762,39.782,2.36747
8,3,CO,ALAMOSA,-105.788,37.573,2.58517
8,5,CO,ARAPAHOE,-104.338,39.65,2.39613
8,5,CO,ARAPAHOE,-104.93,39.671,2.39613
8,5,CO,ARAPAHOE,-104.935,39.704,2.39613
8,5,CO,ARAPAHOE,-104.92,39.667,2.39613
8,5,CO,ARAPAHOE,-104.898,39.685,2.39613
8,5,CO,ARAPAHOE,-104.899,39.624,2.39613
8,5,CO,ARAPAHOE,-104.899,39.624,2.39613
8,7,CO,ARCHULETA,-107.048,37.194,1.80798
8,9,CO,BACA,-102.56,37.319,1.92763
8,11,CO,BENT,-103.071,37.955,2.03159
8,13,CO,BOULDER,-105.357,40.091,2.24611
8,15,CO,CHAFFEE,-106.195,38.747,2.75627
8,17,CO,CHEYENNE,-102.603,38.828,2.02233
8,19,CO,CLEARCREEK,-105.644,39.689,2.02318
8,21,CO,CONEJOS,-106.19,37.2,1.71222
8,23,CO,COSTILLA,-105.427,37.279,2.5321
8,25,CO,CROWLEY,-103.784,38.327,1.92557
8,27,CO,CUSTER,-105.366,38.108,2.04282
8,29,CO,DELTA,-107.862,38.861,2.68689
8,31,CO,DENVER,-104.876,39.762,1.70388
8,31,CO,DENVER,-104.93,39.671,1.70388
8,31,CO,DENVER,-105.081,39.636,1.70388
8,31,CO,DENVER,-105.064,39.653,1.70388
8,31,CO,DENVER,-105.062,39.653,1.70388
8,31,CO,DENVER,-104.935,39.704,1.70388
8,31,CO,DENVER,-104.92,39.667,1.70388
8,31,CO,DENVER,-104.898,39.685,1.70388
8,31,CO,DENVER,-104.771,39.785,1.70388
8,31,CO,DENVER,-104.762,39.782,1.70388
8,31,CO,DENVER,-104.899,39.624,1.70388
8,31,CO,DENVER,-104.899,39.624,1.70388
8,33,CO,DOLORES,-108.518,37.751,1.99745
8,35,CO,DOUGLAS,-104.929,39.33,2.16967
8,37,CO,EAGLE,-106.694,39.627,2.12943
8,39,CO,ELBERT,-104.136,39.287,2.26514
8,41,CO,ELPASO,-104.525,38.832,2.22144
8,43,CO,FREMONT,-105.439,38.473,2.81708
8,45,CO,GARFIELD,-107.903,39.599,2.26036
8,47,CO,GILPIN,-105.521,39.857,1.88149
8,49,CO,GRAND,-106.12,40.102,2.33075
8,51,CO,GUNNISON,-107.032,38.667,2.32059
8,53,CO,HINSDALE,-107.3,37.821,2.04239
8,55,CO,HUERFANO,-104.959,37.685,2.266
8,57,CO,JACKSON,-106.342,40.666,2.6171
8,59,CO,JEFFERSON,-105.249,39.588,1.93709
8,59,CO,JEFFERSON,-105.081,39.636,1.93709
8,59,CO,JEFFERSON,-105.064,39.653,1.93709
8,59,CO,JEFFERSON,-105.062,39.653,1.93709
8,59,CO,JEFFERSON,-105.056,39.635,1.93709
8,59,CO,JEFFERSON,-105.053,39.626,1.93709
8,61,CO,KIOWA,-102.74,38.433,2.05007
8,63,CO,KITCARSON,-102.602,39.305,2.1796
8,65,CO,LAKE,-106.344,39.201,2.56028
8,67,CO,LAPLATA,-107.843,37.287,1.8455
8,69,CO,LARIMER,-105.46,40.666,2.21146
8,71,CO,LASANIMAS,-104.039,37.316,2.27823
8,73,CO,LINCOLN,-103.514,38.988,1.99047
8,75,CO,LOGAN,-103.11,40.725,2.34699
8,77,CO,MESA,-108.466,39.018,2.11402
8,79,CO,MINERAL,-106.923,37.67,1.63763
8,81,CO,MOFFAT,-108.207,40.618,2.59788
8,83,CO,MONTEZUMA,-108.596,37.338,2.17456
8,85,CO,MONTROSE,-108.269,38.402,2.46689
8,87,CO,MORGAN,-103.809,40.263,2.18253
8,89,CO,OTERO,-103.716,37.903,2.17987
8,91,CO,OURAY,-107.768,38.155,2.14828
8,93,CO,PARK,-105.718,39.119,2.35011
8,95,CO,PHILLIPS,-102.357,40.594,2.2793
8,97,CO,PITKIN,-106.916,39.217,2.18739
8,99,CO,PROWERS,-102.393,37.955,2.23646
8,101,CO,PUEBLO,-104.512,38.173,2.53109
8,103,CO,RIOBLANCO,-108.216,39.98,2.39416
8,105,CO,RIOGRANDE,-106.382,37.582,1.55655
8,107,CO,ROUTT,-106.991,40.485,2.04792
8,109,CO,SAGUACHE,-106.28,38.081,2.22474
8,111,CO,SANJUAN,-107.676,37.764,1.53416
8,113,CO,SANMIGUEL,-108.405,38.003,2.18528
8,115,CO,SEDGWICK,-102.351,40.876,2.45542
8,117,CO,SUMMIT,-106.117,39.635,2.13999
8,119,CO,TELLER,-105.161,38.882,2.66727
8,121,CO,WASHINGTON,-103.201,39.971,2.30268
8,123,CO,WELD,-104.393,40.554,2.27769
8,125,CO,YUMA,-102.424,40.003,1.89392
9,1,CN,FAIRFIELD,-73.372,41.225,0
9,3,CN,HARTFORD,-72.733,41.806,0
9,5,CN,LITCHFIELD,-73.246,41.792,0
9,7,CN,MIDDLESEX,-72.523,41.435,0
9,9,CN,NEWHAVEN,-72.9,41.349,0
9,11,CN,NEWLONDON,-72.107,41.467,0
9,13,CN,TOLLAND,-72.337,41.855,0
9,15,CN,WINDHAM,-71.988,41.83,0
10,1,DE,KENT,-75.504,39.096,1.24012
10,3,DE,NEWCASTLE,-75.639,39.578,1.606
10,5,DE,SUSSEX,-75.34,38.683,0.881872
11,1,DC,DISTRICTOFCO,-77.017,38.904,0
12,1,FL,ALACHUA,-82.358,29.675,1.8288
12,3,FL,BAKER,-82.285,30.331,1.22516
12,5,FL,BAY,-85.633,30.237,0.652275
12,7,FL,BRADFORD,-82.17,29.95,1.49033
12,9,FL,BREVARD,-80.703,28.299,0.732869
12,11,FL,BROWARD,-80.456,26.151,0.435074
12,13,FL,CALHOUN,-85.196,30.406,1.25574
12,15,FL,CHARLOTTE,-81.951,26.899,0.805829
12,17,FL,CITRUS,-82.52,28.847,1.56489
12,19,FL,CLAY,-81.858,29.983,1.32301
12,21,FL,COLLIER,-81.381,26.099,0.837977
12,23,FL,COLUMBIA,-82.622,30.224,1.46117
12,25,FL,DADE,-80.501,25.608,1.02222
12,27,FL,DESOTO,-81.81,27.186,0.539096
12,29,FL,DIXIE,-83.186,29.583,1.18019
12,29,FL,DIXIE,-82.91,29.823,1.18019
12,31,FL,DUVAL,-81.648,30.335,1.42241
12,33,FL,ESCAMBIA,-87.332,30.609,1.28331
12,33,FL,ESCAMBIA,-86.857,30.385,1.28331
12,35,FL,FLAGLER,-81.293,29.471,0.936054
12,37,FL,FRANKLIN,-84.801,29.812,1.04632
12,39,FL,GADSDEN,-84.614,30.579,0.988752
12,41,FL,GILCHRIST,-82.799,29.725,1.23667
12,43,FL,GLADES,-81.189,26.956,0.51094
12,45,FL,GULF,-85.256,29.911,1.25138
12,47,FL,HAMILTON,-82.949,30.496,1.23431
12,49,FL,HARDEE,-81.81,27.492,0.72241
12,51,FL,HENDRY,-81.167,26.553,0.501542
12,53,FL,HERNANDO,-82.468,28.556,1.23873
12,55,FL,HIGHLANDS,-81.341,27.343,0.416227
12,57,FL,HILLSBOROUGH,-82.348,27.905,1.42517
12,59,FL,HOLMES,-85.814,30.868,1.31284
12,61,FL,INDIANRIVER,-80.574,27.696,0.374109
12,63,FL,JACKSON,-85.216,30.795,1.27947
12,65,FL,JEFFERSON,-83.901,30.422,1.264
12,67,FL,LAFAYETTE,-83.181,29.985,0.992988
12,69,FL,LAKE,-81.711,28.761,0.976231
12,71,FL,LEE,-81.916,26.576,0.895817
12,73,FL,LEON,-84.278,30.458,1.06142
12,75,FL,LEVY,-82.787,29.284,1.44199
12,77,FL,LIBERTY,-84.881,30.241,0.981992
12,79,FL,MADISON,-83.47,30.444,1.26816
12,81,FL,MANATEE,-82.357,27.477,0.723374
12,83,FL,MARION,-82.057,29.21,1.57682
12,85,FL,MARTIN,-80.399,27.081,0.440387
12,87,FL,MONROE,-82.897,24.634,1.45793
12,87,FL,MONROE,-81.122,25.074,1.45793
12,89,FL,NASSAU,-81.772,30.611,1.40369
12,91,FL,OKALOOSA,-86.593,30.662,1.15698
12,93,FL,OKEECHOBEE,-80.889,27.386,0.402213
12,95,FL,ORANGE,-81.324,28.514,0.785401
12,97,FL,OSCEOLA,-81.15,28.062,0.497291
12,99,FL,PALMBEACH,-80.437,26.647,0.354723
12,101,FL,PASCO,-82.439,28.307,1.02069
12,103,FL,PINELLAS,-82.741,27.904,0.810168
12,105,FL,POLK,-81.698,27.949,1.39947
12,107,FL,PUTNAM,-81.744,29.608,1.07664
12,109,FL,STJOHNS,-81.41,29.912,1.00482
12,111,FL,STLUCIE,-80.446,27.38,0.381751
12,113,FL,SANTAROSA,-87.02,30.698,1.2819
12,113,FL,SANTAROSA,-86.857,30.385,1.2819
12,115,FL,SARASOTA,-82.365,27.182,0.974772
12,117,FL,SEMINOLE,-81.239,28.716,0.883506
12,119,FL,SUMTER,-82.081,28.705,1.23718
12,121,FL,SUWANNEE,-82.992,30.196,1.53064
12,123,FL,TAYLOR,-83.619,30.019,1.08979
12,125,FL,UNION,-82.371,30.044,1.82107
12,127,FL,VOLUSIA,-81.148,29.062,0.854218
12,129,FL,WAKULLA,-84.376,30.148,0.498565
12,131,FL,WALTON,-86.172,30.619,1.14118
12,133,FL,WASHINGTON,-85.666,30.61,0.936545
13,1,GA,APPLING,-82.289,31.75,1.31179
13,3,GA,ATKINSON,-82.88,31.297,1.02875
13,5,GA,BACON,-82.453,31.554,1.21736
13,7,GA,BAKER,-84.444,31.326,1.78958
13,9,GA,BALDWIN,-83.25,33.069,2.04695
13,11,GA,BANKS,-83.498,34.354,1.93294
13,13,GA,BARROW,-83.713,33.993,2.82558
13,15,GA,BARTOW,-84.841,34.238,1.98795
13,17,GA,BENHILL,-83.22,31.76,1.89584
13,19,GA,BERRIEN,-83.23,31.276,1.48966
13,21,GA,BIBB,-83.698,32.807,2.39692
13,23,GA,BLECKLEY,-83.328,32.434,2.43673
13,25,GA,BRANTLEY,-81.982,31.197,0.950566
13,27,GA,BROOKS,-83.581,30.842,1.73042
13,27,GA,BROOKS,-83.321,30.635,1.73042
13,29,GA,BRYAN,-81.442,32.013,1.00006
13,31,GA,BULLOCH,-81.743,32.397,1.19457
13,33,GA,BURKE,-82,33.061,1.57103
13,35,GA,BUTTS,-83.958,33.289,2.95401
13,37,GA,CALHOUN,-84.625,31.529,1.82827
13,39,GA,CAMDEN,-81.635,30.923,1.5332
13,43,GA,CANDLER,-82.074,32.403,1.40872
13,45,GA,CARROLL,-85.08,33.582,2.35035
13,47,GA,CATOOSA,-85.138,34.903,1.85905
13,49,GA,CHARLTON,-82.138,30.782,0.779868
13,51,GA,CHATHAM,-81.087,31.975,0.820551
13,53,GA,CHATTAHOOCHEE,-84.787,32.347,1.74094
13,55,GA,CHATTOOGA,-85.345,34.475,1.78143
13,57,GA,CHEROKEE,-84.476,34.244,1.88673
13,59,GA,CLARKE,-83.367,33.951,3.07229
13,61,GA,CLAY,-84.981,31.626,1.6061
13,63,GA,CLAYTON,-84.358,33.542,2.14702
13,65,GA,CLINCH,-82.707,30.915,0.778364
13,67,GA,COBB,-84.577,33.941,1.49491
13,69,GA,COFFEE,-82.849,31.549,1.52899
13,71,GA,COLQUITT,-83.769,31.188,1.65121
13,73,GA,COLUMBIA,-82.263,33.544,1.95762
13,75,GA,COOK,-83.431,31.154,1.64253
13,77,GA,COWETA,-84.763,33.353,2.24497
13,79,GA,CRAWFORD,-83.985,32.714,2.03583
13,81,GA,CRISP,-83.768,31.923,1.68077
13,83,GA,DADE,-85.505,34.854,1.58374
13,85,GA,DAWSON,-84.171,34.444,2.31765
13,87,GA,DECATUR,-84.579,30.878,1.47547
13,89,GA,DEKALB,-84.226,33.771,3.15171
13,91,GA,DODGE,-83.169,32.172,2.29326
13,93,GA,DOOLY,-83.798,32.157,1.94056
13,95,GA,DOUGHERTY,-84.217,31.533,1.74749
13,97,GA,DOUGLAS,-84.768,33.701,2.27563
13,99,GA,EARLY,-84.904,31.323,1.82518
13,101,GA,ECHOLS,-82.894,30.71,0.850395
13,103,GA,EFFINGHAM,-81.341,32.367,0.967238
13,105,GA,ELBERT,-82.84,34.117,2.6105
13,107,GA,EMANUEL,-82.302,32.59,1.76006
13,109,GA,EVANS,-81.887,32.157,1.26577
13,111,GA,FANNIN,-84.32,34.864,2.08487
13,113,GA,FAYETTE,-84.494,33.414,2.54909
13,115,GA,FLOYD,-85.214,34.263,1.96544
13,117,GA,FORSYTH,-84.125,34.225,2.13501
13,119,GA,FRANKLIN,-83.229,34.375,2.52519
13,121,GA,FULTON,-84.466,33.79,2.33187
13,123,GA,GILMER,-84.456,34.691,2.29916
13,125,GA,GLASCOCK,-82.611,33.229,1.44717
13,127,GA,GLYNN,-81.493,31.213,1.53857
13,129,GA,GORDON,-84.875,34.503,1.94469
13,131,GA,GRADY,-84.235,30.875,1.45389
13,133,GA,GREENE,-83.167,33.578,2.0609
13,135,GA,GWINNETT,-84.023,33.961,2.41724
13,137,GA,HABERSHAM,-83.53,34.629,2.48031
13,139,GA,HALL,-83.82,34.317,2.03971
13,141,GA,HANCOCK,-83.001,33.27,1.87869
13,143,GA,HARALSON,-85.211,33.794,2.05056
13,145,GA,HARRIS,-84.909,32.736,1.96237
13,147,GA,HART,-82.965,34.35,3.00739
13,149,GA,HEARD,-85.128,33.297,2.07627
13,151,GA,HENRY,-84.155,33.453,3.0663
13,153,GA,HOUSTON,-83.667,32.458,2.36982
13,155,GA,IRWIN,-83.277,31.602,1.62315
13,157,GA,JACKSON,-83.566,34.134,2.54977
13,159,GA,JASPER,-83.688,33.316,1.82109
13,161,GA,JEFFDAVIS,-82.638,31.805,1.52042
13,163,GA,JEFFERSON,-82.418,33.055,1.68052
13,165,GA,JENKINS,-81.964,32.792,1.54073
13,167,GA,JOHNSON,-82.66,32.701,2.14215
13,169,GA,JONES,-83.561,33.025,1.80599
13,171,GA,LAMAR,-84.14,33.076,2.98891
13,173,GA,LANIER,-83.063,31.038,1.0622
13,175,GA,LAURENS,-82.922,32.463,2.31519
13,177,GA,LEE,-84.14,31.78,1.81974
13,177,GA,LEE,-84.309,31.688,1.81974
13,179,GA,LIBERTY,-81.456,31.807,1.20278
13,181,GA,LINCOLN,-82.451,33.793,1.39134
13,183,GA,LONG,-81.746,31.752,1.56993
13,185,GA,LOWNDES,-83.269,30.833,1.3116
13,187,GA,LUMPKIN,-84.003,34.572,2.1652
13,189,GA,MCDUFFIE,-82.482,33.484,1.83477
13,191,GA,MCINTOSH,-81.376,31.483,1.25794
13,193,GA,MACON,-84.043,32.358,1.98464
13,195,GA,MADISON,-83.208,34.128,3.04147
13,197,GA,MARION,-84.525,32.353,1.74222
13,199,GA,MERIWETHER,-84.689,33.041,2.75607
13,201,GA,MILLER,-84.731,31.164,1.73517
13,205,GA,MITCHELL,-84.195,31.225,1.61824
13,207,GA,MONROE,-83.919,33.014,2.2653
13,209,GA,MONTGOMERY,-82.534,32.174,1.77778
13,211,GA,MORGAN,-83.493,33.591,2.25958
13,213,GA,MURRAY,-84.748,34.789,2.05102
13,215,GA,MUSCOGEE,-84.877,32.51,1.80329
13,217,GA,NEWTON,-83.85,33.555,2.90054
13,219,GA,OCONEE,-83.437,33.835,2.9802
13,221,GA,OGLETHORPE,-83.08,33.881,2.47268
13,223,GA,PAULDING,-84.867,33.92,1.56795
13,225,GA,PEACH,-83.827,32.568,2.43847
13,227,GA,PICKENS,-84.466,34.464,2.33591
13,229,GA,PIERCE,-82.214,31.359,1.15379
